Task ended in 5.749369859695435 

https://www.lirmm.fr/                                                                                : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/65                                                  : Visited 1
https://www.lirmm.fr/rssfeed/news                                                                    : Visited 1
https://www.lirmm.fr/annuaire                                                                        : Visited 1
https://www.lirmm.fr/Partenariats-entreprises                                                        : Visited 1
https://www.lirmm.fr/Scientifiques-institutions                                                      : Visited 1
https://www.lirmm.fr/acces-etudiants                                                                 : Visited 1
https://www.lirmm.fr/le-lirmm/presentation                                                           : Visited 1
https://www.lirmm.fr/le-lirmm/organisation                                                           : Visited 1
https://www.lirmm.fr/le-lirmm/chiffres-cle                                                           : Visited 1
https://www.lirmm.fr/le-lirmm/historique                                                             : Visited 1
https://www.lirmm.fr/le-lirmm/partenariats                                                           : Visited 1
https://www.lirmm.fr/le-lirmm/emplois                                                                : Visited 1
https://www.lirmm.fr/le-lirmm/les-services                                                           : Visited 1
https://www.lirmm.fr/actualites                                                                      : Visited 1
https://www.lirmm.fr/agenda                                                                          : Visited 1
https://www.lirmm.fr/recherche/departements                                                          : Visited 1
https://www.lirmm.fr/recherche/equipes                                                               : Visited 1
https://www.lirmm.fr/recherche/plateformes                                                           : Visited 1
https://www.lirmm.fr/recherche/publications                                                          : Visited 1
https://www.lirmm.fr/recherche/doctorants                                                            : Visited 1
https://www.lirmm.fr/recherche/theses-et-hdr-soutenues                                               : Visited 1
https://www.lirmm.fr/recherche/conferences-et-ecoles-thematiques                                     : Visited 1
https://www.lirmm.fr/recherche/sujets-de-these-proposes                                              : Visited 1
https://www.lirmm.fr/innovation/nos-competences                                                      : Visited 1
https://www.lirmm.fr/innovation/partenariats-industriels                                             : Visited 1
https://www.lirmm.fr/innovation/conseils-et-expertises                                               : Visited 1
https://www.lirmm.fr/innovation/seminaires                                                           : Visited 1
https://www.lirmm.fr/innovation/creation-d-entreprises                                               : Visited 1
https://www.lirmm.fr/international/international                                                     : Visited 1
https://www.lirmm.fr/contact-acces                                                                   : Visited 1
http://www.lirmm.fr/le-lirmm/presentation                                                            : Visited 1
http://www.lirmm.fr/recherche/departements/info                                                      : Visited 1
http://www.lirmm.fr/recherche/equipes                                                                : Visited 1
http://www.lirmm.fr/recherche/plateformes/plateforme-informatique                                    : Visited 1
http://www.lirmm.fr/recherche/departements/rob                                                       : Visited 1
http://www.lirmm.fr/recherche/plateformes/plateforme-robotique                                       : Visited 1
http://www.lirmm.fr/recherche/departements/mic                                                       : Visited 1
http://www.lirmm.fr/recherche/plateformes/plateforme-microelectronique                               : Visited 1
https://www.lirmm.fr/actualites/webinaire-exploitez-l-intelligence-de-vos-documents-le-18-mars-2021-de-10h-a-12h-sur-zoom : Visited 1
https://www.lirmm.fr/actualites/acusurgical-leve-6-m-5-75m-dans-le-cadre-d-un-financement-de-serie-a : Visited 1
https://www.lirmm.fr/actualites/vendredi-19-fevrier-visite-de-mme-bourguignon-ministre-deleguee-a-l-autonomie-a-l-etape-au-pole-autonomie-sante-de-lattes : Visited 1
http://www.lirmm.fr/le-lirmm/emplois                                                                 : Visited 2
https://www.lirmm.fr/le-lirmm/organisation/les-services/dist                                         : Visited 1
https://www.lirmm.fr/le-lirmm/organisation/les-services/comm                                         : Visited 1
https://www.lirmm.fr/lirmm_admin                                                                     : Visited 9
https://www.lirmm.fr/extranet/manuel-redaction-web-LIRMM.pdf                                         : Visited 9
https://www.lirmm.fr/content/view/sitemap/2                                                          : Visited 1
https://www.lirmm.fr/informations/informations-legales                                               : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng                                         : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/switchlanguage/to/lirmm/65              : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/rssfeed/news                            : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/directory                               : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/Partenariats-entreprises                : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/Scientifiques-institutions              : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/students                                : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/lirmm-lab/presentation                  : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/lirmm-lab/organization                  : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/lirmm-lab/key-figures                   : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/lirmm-lab/history                       : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/lirmm-lab/partnerships                  : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/lirmm-lab/jobs                          : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/lirmm-lab/central-services              : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/news                                    : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/agenda                                  : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/research/departments                    : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/research/teams                          : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/research/plateformes                    : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/research/publications                   : Visited 1
https://www.lirmm.fr/switchlanguage/to/lirmm_eng/6/lirmm_eng/research/phd-students                   : Visited 1
