# Date de création du Fichier: lun. 08 mars 2021 12:21:30 CET
#Fct	a	b	res	tps	mem
Iter	0	0	0	0	0
#Fct	a	b	res	tps	mem
Iter	0	10000	50005000	239	0
#Fct	a	b	res	tps	mem
Iter	0	20000	200010000	453	0
#Fct	a	b	res	tps	mem
Iter	0	30000	450015000	703	0
#Fct	a	b	res	tps	mem
Iter	0	40000	800020000	929	0
#Fct	a	b	res	tps	mem
Iter	0	50000	1250025000	1181	0
#Fct	a	b	res	tps	mem
Iter	0	60000	1800030000	1397	0
#Fct	a	b	res	tps	mem
Iter	0	70000	2450035000	1556	0
#Fct	a	b	res	tps	mem
Iter	0	80000	3200040000	1906	0
#Fct	a	b	res	tps	mem
Iter	0	90000	4050045000	2104	0
#Fct	a	b	res	tps	mem
Iter	0	100000	705082704	2341	0
