# Date de création du Fichier: lun. 08 mars 2021 12:22:20 CET
#Fct	a	b	res	tps	mem
OptV1	0	0	0	0	0
#Fct	a	b	res	tps	mem
OptV1	0	10000	50005000	0	0
#Fct	a	b	res	tps	mem
OptV1	0	20000	200010000	0	0
#Fct	a	b	res	tps	mem
OptV1	0	30000	450015000	0	0
#Fct	a	b	res	tps	mem
OptV1	0	40000	800020000	0	0
#Fct	a	b	res	tps	mem
OptV1	0	50000	1250025000	0	0
#Fct	a	b	res	tps	mem
OptV1	0	60000	1800030000	0	0
#Fct	a	b	res	tps	mem
OptV1	0	70000	2450035000	0	0
#Fct	a	b	res	tps	mem
OptV1	0	80000	3200040000	0	0
#Fct	a	b	res	tps	mem
OptV1	0	90000	4050045000	0	0
#Fct	a	b	res	tps	mem
OptV1	0	100000	705082704	0	0
