# Date de création du Fichier: lun. 08 mars 2021 12:22:06 CET
#Fct	a	b	res	tps	mem
Rec	0	0	0	0	0
#Fct	a	b	res	tps	mem
Rec	0	10000	50005000	159	0
#Fct	a	b	res	tps	mem
Rec	0	20000	200010000	343	0
#Fct	a	b	res	tps	mem
Rec	0	30000	450015000	485	0
#Fct	a	b	res	tps	mem
Rec	0	40000	800020000	691	0
#Fct	a	b	res	tps	mem
Rec	0	50000	1250025000	847	0
#Fct	a	b	res	tps	mem
Rec	0	60000	1800030000	977	0
#Fct	a	b	res	tps	mem
Rec	0	70000	2450035000	1199	124
#Fct	a	b	res	tps	mem
Rec	0	80000	3200040000	1328	192
#Fct	a	b	res	tps	mem
Rec	0	90000	4050045000	1487	384
#Fct	a	b	res	tps	mem
Rec	0	100000	705082704	1712	664
